"pcon_code","pcon_name","new_la_code","la_name","first_available_year_included","most_recent_year_included"
"E14000912","Salisbury","E06000054","Wiltshire","2017","2023"
"E14001025","Wellingborough","E06000061","North Northamptonshire","2022","2023"
"E14000875","Pendle","E10000017","Lancashire","2017","2023"
"E14000862","Northampton South","E06000062","West Northamptonshire","2022","2023"
"E14000660","Daventry","E06000062","West Northamptonshire","2022","2023"
"E14000964","St Ives","E06000052","Cornwall","2017","2023"
"E14000635","Chippenham","E06000054","Wiltshire","2017","2023"
"E14000860","North Wiltshire","E06000054","Wiltshire","2017","2023"
"E14000769","Kettering","E06000061","North Northamptonshire","2022","2023"
"E14000591","Brent Central","E13000002","Outer London","2017","2023"
"E14000592","Brent North","E13000002","Outer London","2017","2023"
"E14000727","Hampstead and Kilburn","E13000002","Outer London","2017","2023"
"E14000660","Daventry","E06000061","North Northamptonshire","2022","2023"
"E14000675","Ealing North","E13000002","Outer London","2017","2023"
"E14000789","Lewisham, Deptford","E13000001","Inner London","2017","2023"
